,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
3843,2016-03-05,694302.1280302851,-4078126.178366073,-4078126.1495196694,694302.1137135569,694302.1424922349
3844,2016-03-06,694483.9226276999,-5118755.045317082,-5118755.016491094,694483.9082999703,694483.937099017
3845,2016-03-07,694665.7172251148,-6050859.136594523,-6050859.107727806,694665.7028863836,694665.7317057992
3846,2016-03-08,694847.5118225297,-6850206.098986996,-6850206.070063451,694847.497472797,694847.5263125811
3847,2016-03-09,695029.3064199445,-7496484.593554247,-7496484.564547626,695029.2920592101,695029.3209193631
3848,2016-03-10,695211.1010173594,-7973777.428097436,-7973777.399181844,695211.0866456237,695211.1155261452
3849,2016-03-11,695392.8956147742,-8270911.78575124,-8270911.756749625,695392.881232037,695392.9101329272
3850,2016-03-12,695574.6902121891,-8381678.7149099065,-8381678.685859965,695574.6758184503,695574.7047397092
3851,2016-03-13,695756.484809604,-8304917.62344892,-8304917.594535183,695756.4704048636,695756.4993464914
3852,2016-03-14,695938.2794070188,-8044465.171374518,-8044465.142401163,695938.264991277,695938.2939532733
3853,2016-03-15,696120.0740044336,-7608971.596233947,-7608971.567331446,696120.0595777114,696120.0885600554
3854,2016-03-16,696301.8686018483,-7011591.035125723,-7011591.006236462,696301.8541648793,696301.8831668373
3855,2016-03-17,696483.6631992633,-6269555.715516342,-6269555.686519568,696483.6487520472,696483.6777736194
3856,2016-03-18,696665.4577966781,-5403646.913715883,-5403646.884614241,696665.4433392152,696665.4723804015
3857,2016-03-19,696847.2523940929,-4437578.219282073,-4437578.190283088,696847.237926383,696847.2669871836
3858,2016-03-20,697029.0469915079,-3397308.838514154,-3397308.8095220984,697029.0325135512,697029.0615939656
3859,2016-03-21,697210.8415889227,-2310306.3692171015,-2310306.340073627,697210.8271007191,697210.8562007475
3860,2016-03-22,697392.6361863374,-1204779.626602353,-1204779.5974400565,697392.6216878869,697392.6508075295
3861,2016-03-23,697574.4307837524,-108902.68326814237,-108902.654057785,697574.4162750549,697574.4454143117
3862,2016-03-24,697756.2253811673,949948.7138604746,949948.7429240807,697756.2108622231,697756.2400210936
3863,2016-03-25,697938.019978582,1945927.7677694045,1945927.7968989844,697938.0054493909,697938.0346278758
3864,2016-03-26,698119.814575997,2855394.8426788487,2855394.8718731683,698119.800036559,698119.8292346579
3865,2016-03-27,698301.6091734119,3657525.4639528063,3657525.4931745506,698301.5946237268,698301.6238414398
3866,2016-03-28,698483.4037708266,4334832.429393194,4334832.458550803,698483.3892108947,698483.4184482216
3867,2016-03-29,698665.1983682415,4873588.885180206,4873588.914326944,698665.1837980628,698665.2130550039
3868,2016-03-30,698846.9929656563,5264142.082332347,5264142.1116060065,698846.9783852308,698847.0076617859
3869,2016-03-31,699028.7875630712,5501110.647016462,5501110.676128019,699028.7729723987,699028.8022643303
3870,2016-04-01,699210.5821604858,5583461.475630187,5583461.504857708,699210.5675595665,699210.5968649017
3871,2016-04-02,699392.3767579008,5514465.724450052,5514465.753748752,699392.3621467347,699392.391465473
3872,2016-04-03,699574.1713553156,5301536.688103028,5301536.717550917,699574.1567339026,699574.1860660441
3873,2016-04-04,699755.9659527304,4955955.585847327,4955955.615121934,699755.9513239147,699755.9806666153
3874,2016-04-05,699937.7605501454,4492494.2924714405,4492494.321725219,699937.7459184772,699937.7752671868
3875,2016-04-06,700119.5551475602,3928946.787285013,3928946.816476156,700119.5405130396,700119.5698677578
3876,2016-04-07,700301.349744975,3285583.4772750083,3285583.506721398,700301.335107602,700301.3644758161
3877,2016-04-08,700483.14434239,2584544.5159588875,2584544.5452772267,700483.1297021644,700483.1590849907
3878,2016-04-09,700664.9389398048,1849189.7323529548,1849189.7618212549,700664.9242967267,700664.9536941651
3879,2016-04-10,700846.7335372196,1103423.7857743502,1103423.8151728346,700846.718891289,700846.7483033394
3880,2016-04-11,701028.5281346346,371015.6128850077,371015.642226813,701028.5134858516,701028.5429125138
3881,2016-04-12,701210.3227320494,-325068.82255164336,-325068.7931151135,701210.3080804138,701210.3375216883
3882,2016-04-13,701392.1173294642,-963302.0747041064,-963302.0452713149,701392.1026749762,701392.1321308626
3883,2016-04-14,701573.9119268791,-1524181.754075411,-1524181.724615266,701573.8972695386,701573.926740037
3884,2016-04-15,701755.706524294,-1990752.329120958,-1990752.299575929,701755.691864101,701755.7213492113
3885,2016-04-16,701937.5011217088,-2349048.4571377384,-2349048.427722498,701937.4864586634,701937.5159583857
3886,2016-04-17,702119.2957191234,-2588448.4702155767,-2588448.440725948,702119.2810532256,702119.31056756
3887,2016-04-18,702301.0903165383,-2701929.278812157,-2701929.249302352,702301.0756477881,702301.1051767346
3888,2016-04-19,702482.8849139531,-2686216.8318914967,-2686216.8023646036,702482.8702423504,702482.899785909
3889,2016-04-20,702664.6795113679,-2541829.25115653,-2541829.2215719977,702664.6648369128,702664.6943950834
3890,2016-04-21,702846.474108783,-2273012.810131167,-2273012.7806598684,702846.4594314753,702846.4890042578
3891,2016-04-22,703028.2687061977,-1887573.9214731578,-1887573.8919346973,703028.2540260375,703028.2836134322
3892,2016-04-23,703210.0633036125,-1396613.181081069,-1396613.1515741777,703210.0486205999,703210.0782226064
3893,2016-04-24,703391.8579010275,-814170.190033905,-814170.1604312107,703391.8432151624,703391.8728317812
3894,2016-04-25,703573.6524984423,-156790.27735926252,-156790.24774634317,703573.6378097247,703573.6674409554
3895,2016-04-26,703755.4470958571,556973.6907068477,556973.7202525939,703755.432404287,703755.4620501298
3896,2016-04-27,703937.2416932721,1307109.5655358338,1307109.5952531497,703937.2269988495,703937.2566593043
3897,2016-04-28,704119.0362906869,2072728.156439596,2072728.1860729507,704119.0215934118,704119.0512684785
3898,2016-04-29,704300.8308881017,2832662.613166931,2832662.6428401708,704300.8161879742,704300.845877653
3899,2016-04-30,704482.6254855165,3566067.835494751,3566067.865332557,704482.6107825367,704482.6404868274
3900,2016-05-01,704664.4200829315,4253002.998142668,4253003.027770726,704664.4053770989,704664.4350960017
3901,2016-05-02,704846.2146803463,4874980.964036038,4874980.9937843485,704846.1999716613,704846.2297051761
3902,2016-05-03,705028.009277761,5415469.5017591305,5415469.531461621,705027.9945662236,705028.0243143503
3903,2016-05-04,705209.8038751759,5860330.760236439,5860330.789997522,705209.7891607862,705209.818923525
3904,2016-05-05,705391.5984725907,6198187.37690507,6198187.406652186,705391.5837553485,705391.6135326994
3905,2016-05-06,705573.3930700056,6420705.817439134,6420705.847195948,705573.3783499107,705573.4081412741
3906,2016-05-07,705755.1876674205,6522790.00281715,6522790.032509979,705755.1729450012,705755.2027490122
3907,2016-05-08,705936.9822648353,6502680.918698646,6502680.948482013,705936.9675402408,705936.9973567502
3908,2016-05-09,706118.7768622501,6361960.618802342,6361960.6486489745,706118.7621354805,706118.791964488
3909,2016-05-10,706300.5714596651,6105461.775894941,6105461.805712009,706300.5567302326,706300.5865722261
3910,2016-05-11,706482.3660570799,5741086.604179877,5741086.6340348525,706482.3513192278,706482.3811799638
3911,2016-05-12,706664.1606544947,5279541.5095391255,5279541.539372954,706664.1459082232,706664.1757877017
3912,2016-05-13,706845.9552519097,4733996.14698904,4733996.176921269,706845.9404972186,706845.9703954398
3913,2016-05-14,707027.7498493245,4119677.611844951,4119677.6416387423,707027.735086214,707027.7650031778
3914,2016-05-15,707209.5444467393,3453412.2077237177,3453412.237683745,707209.5296752092,707209.5596109157
3915,2016-05-16,707391.339044154,2753128.5792205003,2753128.6091300966,707391.3242642044,707391.3542186535
3916,2016-05-17,707573.1336415691,2037336.926744469,2037336.956613781,707573.1188531998,707573.1488263916
3917,2016-05-18,707754.9282389838,1324599.5251263622,1324599.555056822,707754.913442195,707754.9434339955
3918,2016-05-19,707936.7228363985,633007.82597033,633007.8559413736,707936.7080311903,707936.7380408477
3919,2016-05-20,708118.5174338134,-20318.957171588565,-20318.927195257536,708118.5026201858,708118.5326477002
3920,2016-05-21,708300.3120312283,-619699.6777018169,-619699.6477587846,708300.2972091811,708300.3272543708
3921,2016-05-22,708482.1066286431,-1151308.598907213,-1151308.568913262,708482.0917981763,708482.1218555738
3922,2016-05-23,708663.901226058,-1603532.8963860702,-1603532.866300043,708663.8863871718,708663.9164567775
3923,2016-05-24,708845.6958234728,-1967260.8355497515,-1967260.805431224,708845.6809761671,708845.7110579805
3924,2016-05-25,709027.4904208877,-2236093.2435308634,-2236093.213403207,709027.4755651625,709027.505659184
3925,2016-05-26,709209.2850183026,-2406473.2007167884,-2406473.170488282,709209.2701541578,709209.3002603872
3926,2016-05-27,709391.0796157174,-2477731.297045441,-2477731.2669680538,709391.064743153,709391.0948615908
3927,2016-05-28,709572.8742131322,-2452046.266057838,-2452046.2358953347,709572.8593321483,709572.8894627938
3928,2016-05-29,709754.6688105472,-2334323.257665409,-2334323.2276170207,709754.6539211436,709754.6840639975
3929,2016-05-30,709936.463407962,-2131994.367030364,-2131994.3368449216,709936.448510139,709936.4786652005
3930,2016-05-31,710118.2580053768,-1854748.228011655,-1854748.1979385633,710118.2430991344,710118.2732664039
3931,2016-06-01,710300.0526027917,-1514197.4600691465,-1514197.4299099671,710300.0376881296,710300.067867607
3932,2016-06-02,710481.8472002066,-1123494.4498344318,-1123494.4196385564,710481.832277125,710481.8624688106
3933,2016-06-03,710663.6417976213,-696907.3331066716,-696907.3029618285,710663.62686612,710663.6570700139
3934,2016-06-04,710845.436395036,-249369.05852163123,-249369.02834212905,710845.4214551155,710845.451671217
3935,2016-06-05,711027.2309924511,203986.94530350456,203986.9755105067,711027.2160441111,711027.2462724205
3936,2016-06-06,711209.0255898659,648290.7408775586,648290.7709624099,711209.0106331062,711209.0408736237
3937,2016-06-07,711390.8201872807,1069385.8885932625,1069385.9188351713,711390.8052221016,711390.8354748273
3938,2016-06-08,711572.6147846956,1454252.444303555,1454252.4745348685,711572.599811097,711572.6300760304
3939,2016-06-09,711754.4093821105,1791390.817984418,1791390.8483493351,711754.3944000922,711754.4246772339
3940,2016-06-10,711936.2039795252,2071155.6373544096,2071155.6677272134,711936.1889890872,711936.2192784372
3941,2016-06-11,712117.9985769402,2286030.313529376,2286030.343751763,712117.9835780828,712118.0138796407
3942,2016-06-12,712299.7931743549,2430834.8324559135,2430834.8627447095,712299.7781670782,712299.8084803174
3943,2016-06-13,712481.5877717698,2502861.304151517,2502861.334510998,712481.5727560733,712481.6030809517
3944,2016-06-14,712663.3823691846,2501933.954720204,2501933.985027221,712663.3673450688,712663.3976815862
3945,2016-06-15,712845.1769665995,2430392.471305031,2430392.5015560393,712845.1619340644,712845.192282221
3946,2016-06-16,713026.9715640143,2292999.846589774,2292999.8769993368,713026.9565230595,713026.9868828554
3947,2016-06-17,713208.7661614292,2096778.0437678401,2096778.0740760257,713208.7511120546,713208.7814834899
3948,2016-06-18,713390.5607588441,1850776.8653366612,1850776.8957675311,713390.54570105,713390.5760841246
3949,2016-06-19,713572.3553562588,1565783.2972650728,1565783.327606814,713572.3402900454,713572.3706847591
3950,2016-06-20,713754.1499536736,1253980.25044748,1253980.28077429,713754.1348790405,713754.1652853937
3951,2016-06-21,713935.9445510886,928565.0089662239,928565.0394062507,713935.929468036,713935.9598860282
3952,2016-06-22,714117.7391485034,603338.766444328,603338.7968131698,714117.7240570312,714117.754486663
3953,2016-06-23,714299.5337459182,292279.36465776706,292279.39490025584,714299.5186460266,714299.5490872974
3954,2016-06-24,714481.3283433332,9109.729525848994,9109.759952409131,714481.3132350221,714481.3436879322
3955,2016-06-25,714663.122940748,-233125.48246585357,-233125.4519545514,714663.1078240173,714663.1382885666
3956,2016-06-26,714844.9175381628,-422462.8597537432,-422462.8292225024,714844.9024130127,714844.9328892011
3957,2016-06-27,715026.7121355777,-548391.3475315954,-548391.3169820358,715026.6970020081,715026.7274898358
3958,2016-06-28,715208.5067329926,-602181.0226217392,-602180.9920937971,715208.4915910033,715208.5220904703
3959,2016-06-29,715390.3013304074,-577160.3533831473,-577160.3229264782,715390.2861799984,715390.3166911048
3960,2016-06-30,715572.0959278222,-468934.3116693703,-468934.28119675623,715572.0807689939,715572.1112917393
3961,2016-07-01,715753.8905252371,-275537.4508680572,-275537.4204460985,715753.8753579893,715753.905892374
3962,2016-07-02,715935.685122652,2482.0385410420386,2482.069259352903,715935.6699469845,715935.7004930085
