,Date Occurred,Crime Code,MO Codes,Address,Cross Street,Location,lat_lng,Zipcode
276357,11/01/2015,121,1259 0522 0516 0527 0360 1261 1817 0515 1251 1276,10100    KESTER                       AV,,"(34.2536, -118.4565)","[34.2536, -118.4565]",91345
276610,05/01/2015,121,0444 0429 0527 0537 0522 0913,VERMONT                      AV,4TH                          ST,"(34.0674, -118.2916)","[34.0674, -118.2916]",90010
276709,12/30/2015,121,0527 1409,23500    CLARENDON                    ST,,"(34.1693, -118.6381)","[34.1693, -118.6381]",91367
276743,12/31/2015,121,1802 1310 0527 0400 0537,LURLINE,ARCHWOOD,"(34.1917, -118.5838)","[34.1917, -118.5838]",91303
276949,04/05/2015,121,2000 0419 0527,7000    GLADE                        AV,,"(34.2024, -118.6081)","[34.2024, -118.6081]",91303
276990,06/10/2015,121,1206 1258 0305 0443 0409 0369 0500,CANTLAY,IRONDALE,"(34.202, -118.5852)","[34.202, -118.5852]",91306
277031,01/01/2015,121,1259 0533,21500    SCHOENBORN                   ST,,"(34.221, -118.5989)","[34.221, -118.5989]",91306
277070,12/01/2015,121,1259 0413,22200    DOLOROSA                     ST,,"(34.1706, -118.6103)","[34.1706, -118.6103]",91367
277117,01/01/2015,121,0360 0444 0448 0527 0531 0536 1259 1817 2002,300 S  OCCIDENTAL                   BL,,"(34.0677, -118.2821)","[34.0677, -118.2821]",90057
277130,06/01/2015,121,1258 0500 0537 0522 0515 0432 1817 0510,1400 S  BURLINGTON                   AV,,"(34.044, -118.28)","[34.044, -118.28]",90015
277144,01/01/2015,121,0500 0527 0913,VERNON                       AV,HALLDALE,"(34.0037, -118.3023)","[34.0037, -118.3023]",90062
277180,04/23/2015,121,0400 0500 0527 0537 1814 0448,2700 S  REDONDO                      BL,,"(34.0301, -118.3573)","[34.0301, -118.3573]",90016
277182,04/01/2015,121,1251 1259 2000 1814 1309 0527 0400 2024 1813 0510,4200 S  VERMONT                      AV,,"(34.0073, -118.298)","[34.0073, -118.298]",90037
277183,09/10/2015,121,1257 1415 0360 0527 0536 0537 0510,2100    LINCOLN PARK                 AV,,"(34.0692, -118.2025)","[34.0692, -118.2025]",90031
277193,11/26/2015,121,,2700    WYNGLEN                      LN,,"(34.0251, -118.2179)","[34.0251, -118.2179]",90023
277234,05/01/2015,121,0413 0527 0532 0537 1251 1258 1817,WILMINGTON                   AV,PACIFIC COAST                HY,"(33.7739, -118.2678)","[33.7739, -118.2678]",90744
277253,07/01/2015,121,0400 0500 0522 0516 0519 0527 0537 0547,SUNSET                       BL,GOWER,"(34.098, -118.3223)","[34.098, -118.3223]",90028
277255,09/01/2015,121,0527 0522,HOLLYWOOD                    BL,OLYMPIC                      BL,"(34.1036, -118.3049)","[34.1036, -118.3049]",90029
277270,10/01/2015,121,1913 0516 0522 0526 0527 0532 0537 1019,5400    FOUNTAIN                     AV,,"(34.095, -118.307)","[34.095, -118.307]",90029
277294,12/14/2015,121,0500 0516 0527,1300    CRENSHAW                     BL,,"(34.0478, -118.3267)","[34.0478, -118.3267]",90019
277314,08/07/2015,121,0302 0500,SATURN                       ST,WEST                         BL,"(34.0432, -118.3385)","[34.0432, -118.3385]",90019
277348,05/04/2015,121,0444 1814 0527 0509 0515 0532 0448 0516 0913 2000,800 S  HOLT                         AV,,"(34.063, -118.3783)","[34.063, -118.3783]",90211
277363,12/19/2015,121,0400 0913 0527,2700    BENEDICT CANYON              DR,,"(34.124, -118.4377)","[34.124, -118.4377]",90077
277376,10/01/2015,121,0500 0527 1259,14700    ERWIN                        ST,,"(34.1839, -118.4605)","[34.1839, -118.4605]",91411
277431,04/01/2015,121,0359 1815 1251 0319 0400 0527 0537 0501 0913,7400    OAK PARK                     AV,,"(34.2048, -118.5051)","[34.2048, -118.5051]",91406
277485,12/01/2015,121,1259 0527 0913 1820 0537 0501,2400    COLORADO                     BL,,"(34.14, -118.219)","[34.14, -118.219]",90041
277507,07/11/2015,121,1262,3700    EFFINGHAM                    PL,,"(34.1185, -118.2745)","[34.1185, -118.2745]",90039
277509,07/11/2015,121,,3700    EFFINGHAM                    PL,,"(34.1185, -118.2745)","[34.1185, -118.2745]",90039
277551,11/22/2015,121,1820 0537 0527 0516 1206,79TH,HOOVER,"(33.9678, -118.2871)","[33.9678, -118.2871]",90003
277597,04/01/2015,121,0500 1501 1259 0413,12300    CULVER                       BL,,"(33.992, -118.4206)","[33.992, -118.4206]",90066
277599,09/01/2015,121,0500 0444 1259,CENTURY                      BL,AVIATION                     BL,"(33.9455, -118.3785)","[33.9455, -118.3785]",90304
277600,07/01/2015,121,,10300    REGENT                       ST,,"(34.0233, -118.4046)","[34.0233, -118.4046]",90034
277614,12/31/2015,121,0500 0913 1820 1262,12600    CASWELL                      AV,,"(33.9995, -118.4347)","[33.9995, -118.4347]",90066
277632,03/01/2015,121,0500 0527,11900    RUNNYMEDE                    ST,,"(34.2058, -118.3921)","[34.2058, -118.3921]",91605
277651,01/01/2015,121,1258 0537 0913 0400 0556 0527,12000    RUNNYMEDE                    ST,,"(34.2058, -118.3943)","[34.2058, -118.3943]",91605
277657,01/01/2015,121,0554 0400 0515 0522 0512 0500 0527,13100    VANOWEN                      ST,,"(34.194, -118.4181)","[34.194, -118.4181]",91401
277683,11/01/2015,121,0400 0527 1501 0913 1300 1251 1259 1415 1402,12400    ROSCOE                       BL,,"(34.2217, -118.4031)","[34.2217, -118.4031]",91605
277684,11/01/2015,121,0400 0500 0913 1300 1251 1259,12400    ROSCOE                       BL,,"(34.2217, -118.4031)","[34.2217, -118.4031]",91605
277685,11/01/2015,121,0500 0522 1259,12400    ROSCOE                       BL,,"(34.2217, -118.4031)","[34.2217, -118.4031]",91605
277686,11/01/2015,121,0500 0400 0913 1300 1251 1259,12400    ROSCOE                       BL,,"(34.2217, -118.4031)","[34.2217, -118.4031]",91605
277692,08/01/2015,121,0416 0500,13800    HOYT                         ST,,"(34.2568, -118.433)","[34.2568, -118.433]",91331
277720,12/13/2015,121,0500 0501 0522 1259,11200    GLENOAKS                     BL,,"(34.2733, -118.4202)","[34.2733, -118.4202]",91331
277774,06/01/2015,121,1251 2024 1815 0527 0532 1259,19300    HALSTED                      ST,,"(34.2437, -118.5536)","[34.2437, -118.5536]",91324
277794,05/18/2015,121,0527 0507 0522 0540 0515 1259 1817 0556 0519 0512,100 E  COLDEN                       AV,,"(33.9492, -118.2739)","[33.9492, -118.2739]",90003
277800,11/01/2015,121,0527 1814 1259 1309 1312 2000 0537 0400 1817 0416,1800 E  109TH                        ST,,"(33.9371, -118.2405)","[33.9371, -118.2405]",90002
277840,05/01/2015,121,1817 0537 0516 1259 0527,13300    FENTON                       AV,,"(34.3062, -118.4222)","[34.3062, -118.4222]",91342
277844,04/12/2015,121,0527 1817 0522 0536 0537 0432,NOBLE                        AV,RAYEN                        ST,"(34.2319, -118.4611)","[34.2319, -118.4611]",91402
277858,06/09/2015,121,,14900    BLEDSOE                      ST,,"(34.3126, -118.4572)","[34.3126, -118.4572]",91340
277895,06/30/2015,121,0522 0527 0448 0551 0510 0537 0515 0532 0536 1258,HOOVER,VERMONT,"(34.0564, -118.2879)","[34.0564, -118.2879]",90006
277903,05/01/2015,121,0500 0527 1402,1800 S  MANHATTAN                    PL,,"(34.0418, -118.3101)","[34.0418, -118.3101]",90018
277951,08/15/2015,121,1259 1814 0527,7900    SHOUP                        AV,,"(34.2137, -118.6147)","[34.2137, -118.6147]",91303
277981,01/01/2015,121,1259,23100    AVENUE SAN LUIS,,"(34.1618, -118.6302)","[34.1618, -118.6302]",91367
277995,01/01/2015,121,0527 1218,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)","[34.0442, -118.2439]",90013
278009,05/03/2015,121,0527 0400 0500 0513,1400 S  FIGUEROA                     ST,,"(34.0393, -118.2689)","[34.0393, -118.2689]",90015
278026,01/01/2015,121,0513 0527 0552 0602,400 S  UNION                        AV,,"(34.0599, -118.2682)","[34.0599, -118.2682]",90057
278094,02/11/2015,121,1415 1258 0913 0527 0532 0522 0510,2700    CAMULOS                      PL,,"(34.0256, -118.2178)","[34.0256, -118.2178]",90023
278149,08/01/2015,121,1310 0913 0361 0522 0537 0527 0448 0516,OLYMPIC                      BL,LUCERNE                      BL,"(34.0555, -118.3289)","[34.0555, -118.3289]",90019
278192,08/08/2015,121,0507 0515 0527,VENTURA                      BL,SUNNYSLOPE,"(34.1475, -118.428)","[34.1475, -118.428]",91423
278225,02/01/2015,121,1259 0556 0527 0551 0501 0531 0537,18300    KESWICK                      ST,,"(34.2102, -118.5317)","[34.2102, -118.5317]",91335
278243,01/01/2015,121,0400,CLAREMONT,TRACY,"(34.1053, -118.2741)","[34.1053, -118.2741]",90039
278246,03/25/2015,121,0500 0400 0527,3100    LOS FELIZ                    BL,,"(34.1367, -118.2713)","[34.1367, -118.2713]",91204
278256,07/01/2015,121,0500,3400 W  FLORENCE                     AV,,"(33.9745, -118.3309)","[33.9745, -118.3309]",90305
278259,08/01/2015,121,1276 1206 2002 1260 0558 0527,400 E  76TH                         ST,,"(33.9713, -118.2673)","[33.9713, -118.2673]",90003
278262,10/13/2015,121,1251 1259 0361 0500 0537 0527 0400 0913,6300    CRENSHAW                     BL,,"(33.9829, -118.3309)","[33.9829, -118.3309]",90043
278268,05/23/2015,121,0500 0527 0537 0913 1258,80TH                         ST,DENKER                       AV,"(33.9664, -118.3046)","[33.9664, -118.3046]",90047
278276,02/10/2015,121,0531 2000 0444 0527,1200 W  54TH                         ST,,"(33.9932, -118.2958)","[33.9932, -118.2958]",90037
278286,11/01/2015,121,0522 0527,1500 E  32ND                         ST,,"(34.0128, -118.2485)","[34.0128, -118.2485]",90011
278297,06/06/2015,121,0500 0913,800 E  32ND                         ST,,"(34.0163, -118.2624)","[34.0163, -118.2624]",90011
278298,06/06/2015,121,0500 0913,800 E  32ND                         ST,,"(34.0163, -118.2624)","[34.0163, -118.2624]",90011
278324,01/01/2015,121,1816 0400 0432 1258 0558 0913 0906 0515 0527 1501,7200    IRVINE                       AV,,"(34.2012, -118.3855)","[34.2012, -118.3855]",91606
278331,08/05/2015,121,0400 1309,WHITSETT,VANOWEN,"(34.194, -118.4052)","[34.194, -118.4052]",91606
278372,01/01/2015,121,0500 0527 1259 1811 1251 0532,8900    VILLAGE                      AV,,"(34.2304, -118.3559)","[34.2304, -118.3559]",91352
278425,06/01/2015,121,0527 1262,700 W  92ND                         ST,,"(33.9528, -118.2869)","[33.9528, -118.2869]",90044
278429,12/23/2015,121,0913 0444 0408 0504 0516 0527 0531 0536 0906 0371,11300 S  FIGUEROA                     ST,,"(33.932, -118.2826)","[33.932, -118.2826]",90061
278434,04/02/2015,121,1817 1822 0400 0516 0519 0522 0527 0537 0540,10100 S  FIGUEROA                     ST,,"(33.9446, -118.2826)","[33.9446, -118.2826]",90044
278442,01/01/2015,121,1817 2002 1258 0554 0527 0519,14700    ROSCOE                       BL,,"(34.2215, -118.4535)","[34.2215, -118.4535]",91402
278458,08/20/2015,121,1258 0515 1817 0360,BLEDSOE,SAN FERNANDO,"(34.3049, -118.4658)","[34.3049, -118.4658]",91340
278460,07/01/2015,121,1802 1501 0527,12700    ENCINITAS                    AV,,"(34.3007, -118.4747)","[34.3007, -118.4747]",91344
278505,10/31/2015,121,0527 0400,VALLEY CIRCLE                BL,ROSCOE                       BL,"(34.2192, -118.6467)","[34.2192, -118.6467]",91304
278506,12/15/2015,121,0527 0532 0361 1202,5700    OWENSMOUTH                   AV,,"(34.1744, -118.6016)","[34.1744, -118.6016]",91367
278548,08/03/2015,121,1259 0527 0503 0522 1804 0913 0537,2000 S  PACIFIC                      AV,,"(33.7243, -118.2963)","[33.7243, -118.2963]",90732
278571,10/01/2015,121,1814 2000 0527 0416 0508 0446 0913 1243 0516,16300    PACIFIC COAST                HY,,"(34.043, -118.5398)","[34.043, -118.5398]",90402
278579,09/01/2015,121,0552 0510 0509 1258,7200    ETIWANDA                     AV,,"(34.2012, -118.5317)","[34.2012, -118.5317]",91335
278582,01/01/2015,121,,7700    TEXHOMA                      AV,,"(34.2102, -118.5154)","[34.2102, -118.5154]",91325
278587,11/22/2015,121,,7100    LASAINE                      AV,,"(34.1989, -118.511)","[34.1989, -118.511]",91406
278592,03/22/2015,121,0500 0515 0913,2800 E  OBSERVATORY                  RD,,"(34.1192, -118.3004)","[34.1192, -118.3004]",90027
278593,11/01/2015,121,1258 0537 0913 0527,60TH                         ST,WEST                         BL,"(33.9854, -118.3352)","[33.9854, -118.3352]",90043
278609,07/20/2015,121,0527,1100 E  52ND                         ST,,"(33.996, -118.2565)","[33.996, -118.2565]",90011
278637,01/01/2015,121,1259 0500 0527 0519 1801 0503 0510 0515 0522 0551,19200    NAPA                         ST,,"(34.2264, -118.5514)","[34.2264, -118.5514]",91324
278665,06/01/2015,121,1258 0400 0537 0360 0527,20300    VANOWEN                      ST,,"(34.1938, -118.5753)","[34.1938, -118.5753]",91306
278738,02/07/2016,121,1402 0361 0519,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)","[34.0421, -118.2469]",90014
278746,02/12/2016,121,0500,ARCADIA,LOS ANGELES,"(34.055, -118.2388)","[34.055, -118.2388]",90012
278922,06/16/2016,121,1415 2004 0500 0522,4TH                          ST,CROCKER                      ST,"(34.0449, -118.2415)","[34.0449, -118.2415]",90013
279002,08/02/2016,121,0400 0500 1402 0527 0522 0501 0510 0516 1823,700 S  GRAND                        AV,,"(34.0473, -118.2566)","[34.0473, -118.2566]",90017
279039,08/25/2016,121,1218 0416 1019 1316,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)","[34.0421, -118.2469]",90014
279063,09/16/2016,121,1415 0500 0522 0516 1218 2004,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)","[34.0423, -118.2452]",90014
279178,12/02/2016,121,0527,800 W  OLYMPIC                      BL,,"(34.045, -118.264)","[34.045, -118.264]",90017
279196,12/13/2016,121,1218 1415 1402 0515 0512 0516 0527,5TH,SAN PEDRO,"(34.0421, -118.2469)","[34.0421, -118.2469]",90014
279444,01/11/2016,121,1822 0515 0527 0216,6TH                          ST,MAIN                         ST,"(34.0453, -118.2499)","[34.0453, -118.2499]",90014
279712,01/22/2016,121,0400 0500 0522 0527,500 N  MAIN                         ST,,"(34.0558, -118.24)","[34.0558, -118.24]",90012
280120,02/08/2016,121,1218 1402 2003 2002 0527,5TH,SAN PEDRO,"(34.0435, -118.2427)","[34.0435, -118.2427]",90013
280577,02/27/2016,121,1218 1402 0305 0411 0527 0913 0522,18TH,HOPE,"(34.0348, -118.2687)","[34.0348, -118.2687]",90015
280747,03/06/2016,121,0522,600 S  FLOWER                       ST,,"(34.0502, -118.2574)","[34.0502, -118.2574]",90017
280761,03/02/2016,121,1402 1251 0500 1814 1415,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
281039,03/17/2016,121,0522,5TH,CROCKER                      ST,"(34.043, -118.242)","[34.043, -118.242]",90013
281251,03/24/2016,121,1268 0913 2004 0503 0532 0443 0527 0519,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
281339,03/28/2016,121,1402 1820 0444 0408 0421 0432 0527 0516,600 S  CENTRAL                      AV,,"(34.039, -118.24)","[34.039, -118.24]",90021
281576,04/06/2016,121,0500 0400,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
281652,04/02/2016,121,1218 2004 0527 0533 0913,4TH,TOWNE,"(34.0416, -118.244)","[34.0416, -118.244]",90014
281658,04/08/2016,121,2004 1218 0500 1206 2001 0408 0504,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)","[34.0442, -118.2439]",90013
281727,03/17/2016,121,1218 0500,6TH                          ST,CROCKER,"(34.0417, -118.2443)","[34.0417, -118.2443]",90014
281903,04/17/2016,121,1262 0527 1206,1000 S  HOPE                         ST,,"(34.0437, -118.2617)","[34.0437, -118.2617]",90017
282101,04/22/2016,121,0500 1262,1300 S  FIGUEROA                     ST,,"(34.0388, -118.2717)","[34.0388, -118.2717]",90015
282289,04/06/2016,121,0400 0503 0515 0516 0522 0527 0913 1240 1309 1804,FIGUEROA                     ST,12TH                         ST,"(34.0419, -118.2669)","[34.0419, -118.2669]",90015
282619,05/13/2016,121,0400 0500 0522 0305 0429 0319 0416 1210 0536 0537,17TH                         ST,GRAND                        AV,"(34.0349, -118.2669)","[34.0349, -118.2669]",90015
282739,05/12/2016,121,0444 0429 0537 0527 0401 1822,ALAMEDA,CESAR E CHAVEZ,"(34.0581, -118.2371)","[34.0581, -118.2371]",90012
282786,05/16/2016,121,1402 0522,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
282827,05/08/2016,121,0942 0527 0515 0913 1817 1820 0532 0537 1262 1206,100 W  7TH                          ST,,"(34.0446, -118.2507)","[34.0446, -118.2507]",90014
283029,05/04/2016,121,0541 1206 0408 0305 0532 0545 0416 0519,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
283319,06/05/2016,121,1402 1206 0522,1300    FACTORY                      PL,,"(34.0392, -118.2363)","[34.0392, -118.2363]",90021
283456,06/09/2016,121,1402 0527 0516 1820 2004,500    WALL                         ST,,"(34.0449, -118.2458)","[34.0449, -118.2458]",90014
283615,06/14/2016,121,1218 0400 0527,5TH,TOWNE,"(34.043, -118.242)","[34.043, -118.242]",90013
284264,07/09/2016,121,0400 0537 0913,200 S  LOS ANGELES                  ST,,"(34.0503, -118.2433)","[34.0503, -118.2433]",90013
284305,07/10/2016,121,1402 1218 2004 0416 0400 0522,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)","[34.0421, -118.2469]",90014
284398,07/13/2016,121,1402 1218 0416 0402 0527 0340 0337,500    SAN JULIAN                   ST,,"(34.0446, -118.245)","[34.0446, -118.245]",90014
284520,06/01/2016,121,0906 0416 0305 0429 0334 0536 0537 0527 1270,600 S  SPRING                       ST,,"(34.046, -118.2509)","[34.046, -118.2509]",90014
284587,05/05/2016,121,1259 0522 0504 0527,BLOOM                        ST,MAIN                         ST,"(34.0652, -118.2306)","[34.0652, -118.2306]",90012
284651,04/23/2016,121,1415 0400 0432,HILL,PICO,"(34.0377, -118.2621)","[34.0377, -118.2621]",90015
284719,07/25/2016,121,1402 1206 0500,700 S  OLIVE                        ST,,"(34.0467, -118.2556)","[34.0467, -118.2556]",90014
284822,07/28/2016,121,0500 1218 2004 0913 0319 0448 0444 0429 1820,5TH                          ST,SAN JULIAN,"(34.046, -118.2493)","[34.046, -118.2493]",90014
284878,07/30/2016,121,1415 1262 0507 0527,FIGUEROA,OLYMPIC,"(34.045, -118.264)","[34.045, -118.264]",90017
285175,08/09/2016,121,0500 1218 2004,LOS ANGELES,ALAMEDA,"(34.0563, -118.2374)","[34.0563, -118.2374]",90012
285198,08/09/2016,121,1218 0500,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)","[34.0428, -118.2461]",90014
285559,08/20/2016,121,1402 1415 0500 1814 0510 0522 0444 0536 0537 2002,1800 S  FLOWER                       ST,,"(34.0353, -118.2698)","[34.0353, -118.2698]",90015
285625,08/24/2016,121,0500 0522 0515 0408 0448 0540 1407 0432 1419 1218,200 W  6TH                          ST,,"(34.046, -118.2509)","[34.046, -118.2509]",90014
285761,08/28/2016,121,1402 0400 0500 0345 1262 0907 0526 0532 0536,5TH                          ST,SAN PEDRO                    ST,"(34.0435, -118.2427)","[34.0435, -118.2427]",90013
285769,08/28/2016,121,0527 1238 0526,7TH,WALL,"(34.0453, -118.2443)","[34.0453, -118.2443]",90013
285907,09/03/2016,121,0510 1206 1913 0527,800 S  HOPE                         ST,,"(34.0466, -118.259)","[34.0466, -118.259]",90017
285973,09/05/2016,121,1415 0500 0522 0537 0400 0408 1300,900 S  BROADWAY,,"(34.0423, -118.2561)","[34.0423, -118.2561]",90014
286218,09/14/2016,121,0527,500 N  FIGUEROA                     ST,,"(34.0617, -118.2469)","[34.0617, -118.2469]",90012
286223,08/18/2016,121,0500,700 W  OLYMPIC                      BL,,"(34.0444, -118.2628)","[34.0444, -118.2628]",90017
286285,09/16/2016,121,,900 W  TEMPLE                       ST,,"(34.0607, -118.2494)","[34.0607, -118.2494]",90012
286440,09/14/2016,121,1501,LOS ANGELES,LOS ANGELES,"(34.0437, -118.2455)","[34.0437, -118.2455]",90014
286451,09/19/2016,121,1218 2004 0500 0522 0516,4TH                          ST,CROCKER                      ST,"(34.0449, -118.2415)","[34.0449, -118.2415]",90013
286545,09/24/2016,121,,900    FIGUEROA                     TR,,"(34.0663, -118.2441)","[34.0663, -118.2441]",90012
286611,09/07/2016,121,0500 0527 0532 0421 0446 0416 0342 1218,6TH,CROCKER,"(34.0417, -118.2443)","[34.0417, -118.2443]",90014
286627,09/24/2016,121,0500,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)","[34.0563, -118.2374]",90012
287379,10/23/2016,121,0518,200    LEROY                        ST,,"(34.0649, -118.2289)","[34.0649, -118.2289]",90012
287436,10/22/2016,121,1218 2004 0500 0522 0527 0532,5TH                          ST,SAN PEDRO                    ST,"(34.0442, -118.2439)","[34.0442, -118.2439]",90013
287537,09/26/2016,121,1501 9999,1ST                          ST,MAIN                         ST,"(34.0522, -118.2434)","[34.0522, -118.2434]",90079
287601,10/27/2016,121,0533,HILL                         ST,11TH                         ST,"(34.0402, -118.2598)","[34.0402, -118.2598]",90014
287653,10/10/2016,121,0416 0500 0522 0302 2004 0344 0526 0202,5TH                          ST,LOS ANGELES                  ST,"(34.0461, -118.2476)","[34.0461, -118.2476]",90014
287725,11/06/2016,121,0448 0527,5TH,SAN PEDRO,"(34.0442, -118.2439)","[34.0442, -118.2439]",90013
288154,11/20/2016,121,0500 0522 0512 0510 2002 0527 0537 1206 0913,600 N  HILL                         ST,,"(34.0591, -118.2412)","[34.0591, -118.2412]",90012
288224,11/24/2016,121,0527 0400,7TH,BROADWAY,"(34.0452, -118.2534)","[34.0452, -118.2534]",90014
288319,11/26/2016,121,0400 1817,6TH,STANFORD,"(34.0408, -118.2428)","[34.0408, -118.2428]",90014
288346,11/23/2016,121,0444 0527 1218,5TH,LINDLEY,"(34.0485, -118.2513)","[34.0485, -118.2513]",90014
288430,12/01/2016,121,0507 1415 0500 0522 0416 0417 0429 0400,500    SAN JULIAN                   ST,,"(34.0446, -118.245)","[34.0446, -118.245]",90014
288535,11/22/2016,121,0500 0400,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
288539,12/05/2016,121,1415 0400 0500 0522,500 N  FIGUEROA                     ST,,"(34.0617, -118.2469)","[34.0617, -118.2469]",90012
288592,12/06/2016,121,1402 1206 0500 0212 1219,300 W  5TH                          ST,,"(34.0481, -118.2507)","[34.0481, -118.2507]",90014
288644,11/15/2016,121,1261 0913 0515 0527 0409 1218,MAIN,SPRING,"(34.0416, -118.255)","[34.0416, -118.255]",90014
288685,12/04/2016,121,1218,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)","[34.0563, -118.2374]",90012
288742,12/09/2016,121,2000 1813 0507 0519 0527 1402 0400 1415 0537 0516,100 S  LOS ANGELES                  ST,,"(34.0515, -118.2424)","[34.0515, -118.2424]",90013
288767,12/10/2016,121,0305 0500 0522 0537 1218,3RD                          ST,LOS ANGELES                  ST,"(34.0485, -118.2447)","[34.0485, -118.2447]",90013
289300,01/09/2016,121,1206 2002 1259 0500 1415,1900 W  TEMPLE                       ST,,"(34.0694, -118.2655)","[34.0694, -118.2655]",90026
289318,02/01/2016,121,0319 0444 0522 0527 1415,100 S  PARK VIEW                    ST,,"(34.0681, -118.2735)","[34.0681, -118.2735]",90057
289332,02/27/2016,121,2000 0446 0408 2002 0432 0500 0507 0527 0531 0419,300 S  ALVARADO                     ST,,"(34.061, -118.2775)","[34.061, -118.2775]",90057
289338,03/06/2016,121,1206,3000 W  SUNSET                       BL,,"(34.0839, -118.2741)","[34.0839, -118.2741]",90026
289362,03/25/2016,121,1415 1268 1206 0527 0913,6TH                          ST,RAMPART                      BL,"(34.0624, -118.2813)","[34.0624, -118.2813]",90057
289363,03/26/2016,121,0503 0522 0527 0551 1817 1259 0448 0537 0510 0531,1000 N  MARIPOSA                     AV,,"(34.0891, -118.2992)","[34.0891, -118.2992]",90029
289366,03/24/2016,121,1206 2002 0500 0522 1409 1415,500 N  MARIPOSA                     AV,,"(34.079, -118.2992)","[34.079, -118.2992]",90004
289373,04/14/2016,121,1415 0500 1814 0913 2000 0400,400 S  RAMPART                      BL,,"(34.0649, -118.2797)","[34.0649, -118.2797]",90057
289385,04/24/2016,121,0532 0536 0537 0522 0510 0515 1206 1820 1415,2100 W  PICO                         BL,,"(34.0491, -118.2823)","[34.0491, -118.2823]",90006
289393,05/13/2016,121,1415 1409 1402 1206 0537 0527,2700    WILSHIRE                     BL,,"(34.0609, -118.2823)","[34.0609, -118.2823]",90057
289398,05/22/2016,121,0418 0302 1305 2000 0500 0421 0432 1813 0400 1415,400 S  RAMPART                      BL,,"(34.0649, -118.2797)","[34.0649, -118.2797]",90057
289445,07/12/2016,121,1415 1409,2200 W  6TH                          ST,,"(34.0601, -118.2761)","[34.0601, -118.2761]",90057
289463,09/11/2016,121,0500 0510 0527 0532 0913 1402 1409 1415,1000 N  MARIPOSA                     AV,,"(34.0891, -118.2992)","[34.0891, -118.2992]",90029
289474,09/26/2016,121,1402 1415 0500 0408 0913 2002 1206 0501 0512 0515,500 S  UNION                        AV,,"(34.0586, -118.2691)","[34.0586, -118.2691]",90057
289501,11/04/2016,121,1215 0444 0503 0416 0532 0421 0507 0526 0549 0913,1000 S  BONNIE BRAE                  ST,,"(34.0507, -118.2776)","[34.0507, -118.2776]",90057
289531,11/27/2016,121,1402 1409 1415 0500 0527 0533 0913,2000 W  3RD                          ST,,"(34.0657, -118.268)","[34.0657, -118.268]",90057
289540,12/14/2016,121,2002 1206 0342 1415 0527,2700    WILSHIRE                     BL,,"(34.0609, -118.2823)","[34.0609, -118.2823]",90057
289549,12/21/2016,121,0416 0527 2004 1018 0531,6TH                          ST,110 FRWY,"(34.0527, -118.2594)","[34.0527, -118.2594]",90017
289552,12/27/2016,121,0500 0913 0512 0537 0381 0519 0522 0527 0539 1415,700 N  CORONADO                     ST,,"(34.0759, -118.2712)","[34.0759, -118.2712]",90026
289718,01/09/2016,121,2004 0500,7TH                          ST,ALVARADO,"(34.057, -118.2779)","[34.057, -118.2779]",90057
290709,02/20/2016,121,1206 0400,7TH,VALENCIA,"(34.0531, -118.2694)","[34.0531, -118.2694]",90017
290927,02/29/2016,121,1402 1415 1409 0432 0342 0527 0503 0537 0507 0528,8TH,CORONADO,"(34.0573, -118.2831)","[34.0573, -118.2831]",90057
290962,02/29/2016,121,0500 1409 1415 0342 0424 0429 0527 0537 1218,6TH                          ST,BEAUDRY                      ST,"(34.0529, -118.2596)","[34.0529, -118.2596]",90017
291084,02/27/2016,121,0400 0500,8TH                          ST,WESTLAKE,"(34.0544, -118.2767)","[34.0544, -118.2767]",90057
291277,03/10/2016,121,0527 0400,700 S  RAMPART                      BL,,"(34.0594, -118.2832)","[34.0594, -118.2832]",90057
291497,03/07/2016,121,0305 0400 0444 0522 0510 0532 0448,800 S  WESTLAKE                     AV,,"(34.0544, -118.2767)","[34.0544, -118.2767]",90057
291656,04/03/2016,121,0418 0416 1300 0500 0408 0100 1822,1300    INGRAHAM                     ST,,"(34.0531, -118.2671)","[34.0531, -118.2671]",90017
292107,04/21/2016,121,0448 0419 0444 1814 0319 0527 0443 0421 0913 2000,2500 W  6TH                          ST,,"(34.0616, -118.2795)","[34.0616, -118.2795]",90057
292437,05/06/2016,121,0342,6TH,ALVARADO,"(34.0596, -118.2749)","[34.0596, -118.2749]",90057
