,Date Occurred,Crime Code,MO Codes,Address,Cross Street,Location,lat_lng,Zipcode
1452171,01/01/2012,121,1258 1261 0554 0527 0522 0503 0510 0914,1700 W  55TH                         ST,,"(33.9924, -118.3068)","[33.9924, -118.3068]",90062
1452199,06/21/2012,121,0500 0527,52ND                         ST,SAN PEDRO                    AV,"(33.9953, -118.2701)","[33.9953, -118.2701]",90011
1452202,05/01/2012,121,0500 0527,7000 W  MANCHESTER                   AV,,"(33.9598, -118.4136)","[33.9598, -118.4136]",90045
1452214,06/06/2012,121,0527 0913 1814,6800    SUNNY COVE,,"(34.1205, -118.3433)","[34.1205, -118.3433]",90068
1452275,05/30/2012,121,0533 1259 0527 1258 0556,14600    PLUMMER                      ST,,"(34.2454, -118.4505)","[34.2454, -118.4505]",91402
1452301,06/01/2012,121,1018 2002 0319 1259 1251 1262,2ND                          ST,NORMANDIE                    AV,"(34.0712, -118.3004)","[34.0712, -118.3004]",90020
1452310,10/31/2012,121,1251 1258 1822,VERMONT                      AV,WILSHIRE                     BL,"(34.0618, -118.2916)","[34.0618, -118.2916]",90010
1452314,01/01/2012,121,1258 0527 1811,23900    KITTRIDGE                    ST,,"(34.191, -118.6468)","[34.191, -118.6468]",91367
1452318,12/31/2012,121,1258 0556 0536 0527,20600    SKOURAS                      DR,,"(34.1926, -118.5819)","[34.1926, -118.5819]",91303
1452323,06/01/2012,121,1258 0527,21700    SATICOY                      ST,,"(34.2119, -118.6017)","[34.2119, -118.6017]",91303
1452338,01/01/2012,121,1258 1251 0512 0519 0527 0554,1200    BROWNING                     BL,,"(34.0121, -118.2968)","[34.0121, -118.2968]",90037
1452344,03/14/2012,121,1251 1259 0305 0419 0444 0429 0527 0516 0510 0558,3600    5TH                          AV,,"(34.0229, -118.3224)","[34.0229, -118.3224]",90018
1452355,01/01/2012,121,2000 0400 1813 0503 0444 0448 1241,700 S  MOTT                         ST,,"(34.0344, -118.2111)","[34.0344, -118.2111]",90033
1452373,04/01/2012,121,0400 0500 0522 0516 0526 0527,6200    HOLLYWOOD                    BL,,"(34.1017, -118.3245)","[34.1017, -118.3245]",90028
1452396,08/29/2012,121,0913 0527,10400    LINDBROOK                    DR,,"(34.0689, -118.4301)","[34.0689, -118.4301]",90024
1452423,01/01/2012,121,0500 1259,BALBOA                       BL,SATICOY                      ST,"(34.2084, -118.5011)","[34.2084, -118.5011]",91406
1452430,01/14/2012,121,0506 0527 0532 1259 0515,1900 W  SILVER LAKE                  DR,,"(34.0932, -118.2676)","[34.0932, -118.2676]",90026
1452438,10/01/2012,121,0527 0913,SILVER LAKE,GLENDALE,"(34.1008, -118.2592)","[34.1008, -118.2592]",90039
1452462,01/02/2012,121,1259 1251 1822 0527 1258 0537 0526 0443,5900 S  BUDLONG                      AV,,"(33.9875, -118.2958)","[33.9875, -118.2958]",90037
1452473,06/01/2012,121,0537 0360 0558 1258 0527,800 E  ADAMS                        BL,,"(34.0207, -118.2594)","[34.0207, -118.2594]",90011
1452553,09/01/2012,121,1817 0519 0558 0507 0527 1258,600 E  111TH                        ST,,"(33.9348, -118.2652)","[33.9348, -118.2652]",90061
1452606,01/01/2012,121,1258 0552 0500 0519 0527 0507,700 W  41ST                         DR,,"(34.0087, -118.2857)","[34.0087, -118.2857]",90037
1452620,02/24/2012,121,0400 1810 1262 0503 0537,1900 N  MAIN                         ST,,"(34.0661, -118.2194)","[34.0661, -118.2194]",90031
1452632,01/01/2012,121,0500,DIX                          ST,VISTA DEL MAR,"(34.1056, -118.324)","[34.1056, -118.324]",90028
1452639,01/01/2012,121,0527 0556 0516 0519 0422 0503 0515 0532 0512 1258,1200    BRONSON                      AV,,"(34.0499, -118.3242)","[34.0499, -118.3242]",90019
1452664,01/01/2012,121,,6400    HESPERIA                     AV,,"(34.1876, -118.5254)","[34.1876, -118.5254]",91335
1452672,06/01/2012,121,1259 0515 1258 0536 0527 0913 0510,3000    ASBURY                       ST,,"(34.0983, -118.2304)","[34.0983, -118.2304]",90065
1452688,07/14/2012,121,0515 0500,900 W  81ST                         ST,,"(33.9655, -118.2893)","[33.9655, -118.2893]",90044
1452693,06/01/2012,121,0432 0913 0556 0527 1259,200 W  42ND                         PL,,"(34.0065, -118.2762)","[34.0065, -118.2762]",90037
1452706,11/04/2012,121,1501,BROOKS,SPEEDWAY,"(33.9918, -118.4791)","[33.9918, -118.4791]",90291
1452732,06/01/2012,121,0527 0532 0536 1258 0547 0558 0516,10800    WHITE                        ST,,"(34.2177, -118.3669)","[34.2177, -118.3669]",91605
1452768,11/01/2012,121,0527 1259 2021 1817,12200    SAN FERNANDO                 RD,,"(34.2918, -118.4506)","[34.2918, -118.4506]",91340
1452777,01/01/2012,121,1251 1258 0432 0512 0510 0522 0515 0516 0527 0537,1100 S  NORMANDIE                    AV,,"(34.049, -118.3021)","[34.049, -118.3021]",90006
1452779,06/12/2012,121,0500 0503 0515 0522 0532 0551 0560 1257 0527,1100    MENLO                        AV,,"(34.0508, -118.2907)","[34.0508, -118.2907]",90006
1452809,02/13/2012,121,1259 0527 0400 0556,2300 E  3RD                          ST,,"(34.0421, -118.2125)","[34.0421, -118.2125]",90033
1452818,10/01/2012,121,0527 2002,1500 N  HIGHLAND                     AV,,"(34.1006, -118.3417)","[34.1006, -118.3417]",90028
1452840,06/01/2012,121,1402 0532 0527,900 W  75TH                         ST,,"(33.9717, -118.2893)","[33.9717, -118.2893]",90003
1452849,11/04/2012,121,2000 1821 0507 0519 0527 1243,1500 E  23RD                         ST,,"(34.0181, -118.2488)","[34.0181, -118.2488]",90011
1452856,12/01/2012,121,,11500    VANOWEN ST N,,"(34.1946, -118.3835)","[34.1946, -118.3835]",91606
1452867,01/01/2012,121,1258 0527 1801 0421,19800    KINZIE                       ST,,"(34.2484, -118.5646)","[34.2484, -118.5646]",91324
1453039,06/01/2013,121,0527 0418 0503 0534 0536 1822,600 S  MAIN                         ST,,"(34.0453, -118.2499)","[34.0453, -118.2499]",90014
1453131,09/18/2013,121,0500 1402 0527,100 S  FIGUEROA                     ST,,"(34.0578, -118.252)","[34.0578, -118.252]",90071
1453191,11/24/2013,121,,7TH                          ST,SANTA FE                     AV,"(34.0344, -118.23)","[34.0344, -118.23]",90021
1453543,01/22/2013,121,0515 0527 1218,100 E  7TH                          ST,,"(34.0439, -118.2514)","[34.0439, -118.2514]",90014
1454039,02/21/2013,121,0507 0416 0421 2001 0537 0510 1206 1218 0516 1402,500 E  6TH                          ST,,"(34.0423, -118.2452)","[34.0423, -118.2452]",90014
1454132,02/24/2013,121,1218 2004 0522 0400 0500 0527 0405 0414 0501 0526,HOPE,PICO,"(34.0391, -118.2659)","[34.0391, -118.2659]",90015
1454523,03/20/2013,121,1402 1206 0537 1262 1823 1409 0536 0500 0527,FRANCISCO,JAMES M WOOD,"(34.0469, -118.2644)","[34.0469, -118.2644]",90017
1454695,03/30/2013,121,1206 0510 1300 0503 0522 0515 0444 0527 1402,12TH,BROADWAY,"(34.0382, -118.2603)","[34.0382, -118.2603]",90015
1454766,04/02/2013,121,1251 1259 0522 0527 1300 0432 1402,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)","[34.0563, -118.2374]",90012
1455456,05/06/2013,121,1218 0519 0500,600 E  5TH                          ST,,"(34.0435, -118.2427)","[34.0435, -118.2427]",90013
1455508,05/12/2013,121,0527 1402,500 N  FIGUEROA                     ST,,"(34.0617, -118.2469)","[34.0617, -118.2469]",90012
1456226,06/10/2013,121,0448 0510 1813 0536 1241 1821 0523,400    SAVOY                        ST,,"(34.0695, -118.2324)","[34.0695, -118.2324]",90012
1456527,06/30/2013,121,0527 0522 0507 1218 1402,5TH,CROCKER,"(34.043, -118.242)","[34.043, -118.242]",90013
1456609,07/03/2013,121,0527 1817 0512 1402,100 W  7TH                          ST,,"(34.0439, -118.2514)","[34.0439, -118.2514]",90014
1456793,07/11/2013,121,1415 0448 1402 0341 0421 1822 0527,700 N  ALAMEDA                      ST,,"(34.0544, -118.2378)","[34.0544, -118.2378]",90013
1456920,07/18/2013,121,1206 0527 1402,600 S  SPRING                       ST,,"(34.046, -118.2509)","[34.046, -118.2509]",90014
1457707,08/21/2013,121,0500 0516 0400 0542 1814 1218 1415 2000 2004,FIGUEROA                     ST,2ND                          ST,"(34.0566, -118.2528)","[34.0566, -118.2528]",90071
1457771,01/01/2010,121,2000 0519 1813,21500    CALIFA                       ST,,"(34.1773, -118.5988)","[34.1773, -118.5988]",91367
1458740,10/09/2013,121,0527,5TH                          ST,HILL                         ST,"(34.0488, -118.2518)","[34.0488, -118.2518]",90014
1459014,10/22/2013,121,1206 0444 0522 0516 0531 0400 0500 0507,7TH,SAN PEDRO                    ST,"(34.0407, -118.2468)","[34.0407, -118.2468]",90014
1459292,11/03/2013,121,0527,COLLEGE                      ST,ALAMEDA                      ST,"(34.0637, -118.2361)","[34.0637, -118.2361]",90012
1459397,11/07/2013,121,0527,6TH                          ST,GLADYS                       ST,"(34.0398, -118.2413)","[34.0398, -118.2413]",90014
1459746,11/25/2013,121,0913 0537 0527,400 S  MAIN                         ST,,"(34.0482, -118.2472)","[34.0482, -118.2472]",90079
1459995,12/08/2013,121,0400 0500,800 W  7TH                          ST,,"(34.0487, -118.2588)","[34.0487, -118.2588]",90017
1460416,02/18/2013,121,1817 0503 1415 0522 0507 1300 0432 0400,MELROSE                      AV,HELIOTROPE,"(34.0836, -118.295)","[34.0836, -118.295]",90029
1460419,02/22/2013,121,1822 0519 0319 0302 1415 0432 0500 1300 0542 0421,1200 W  8TH                          ST,,"(34.0496, -118.2677)","[34.0496, -118.2677]",90017
1460434,03/23/2013,121,1415 0527 0519 1817 0537 0439 0501,1900 W  3RD                          ST,,"(34.0619, -118.2702)","[34.0619, -118.2702]",90057
1460435,04/04/2013,121,0527 1415 1241 2000 1821 1402,800 S  BONNIE BRAE                  ST,,"(34.0539, -118.2756)","[34.0539, -118.2756]",90057
1460464,07/30/2013,121,1817 1816 1415 0500 0527 0510 1010 0400 0906 0913,3RD                          ST,BONNIE BRAE,"(34.0619, -118.2702)","[34.0619, -118.2702]",90057
1460495,11/15/2013,121,1822 0422 1415 0302 1258 0418 0536 0537 1305 0906,1300    INGRAHAM                     ST,,"(34.0531, -118.2671)","[34.0531, -118.2671]",90017
1461251,02/09/2013,121,0432 0417 2000 1817,6TH                          ST,ALVARADO                     ST,"(34.0596, -118.2749)","[34.0596, -118.2749]",90057
